FORD
tid attemp_tp tp 50lat 99lat
32 899.447 135.978 268.465 16823.1
22 2279.15 376.79 248.696 18207.6
30 2278.92 345.689 266.509 17139
42 899.147 126.123 280.681 17077.1
26 2276.89 369.54 255.458 17881.9
40 897.786 126.848 278.475 17043.5
12 2265.45 395.367 243.806 18084.7
109437 15689.6 243.806 288.31 274.668 16823.1 18777 17409.7

FORD
tid attemp_tp tp 50lat 99lat
5 1664.69 174.343 522.107 38631
45 1643.65 169.642 518.511 38206.3
35 1641.14 168.725 509.489 38214.5
103 512.565 52.2303 518.925 38006.3
95 512.025 52.0781 530.877 38133.2
43 1631.65 167.473 521.337 37982.4
92 511.705 52.5163 540.373 38388.4
115 511.674 52.6512 502.502 38512.4
109 510.635 53.0193 524.892 38076.2
99 510.576 52.1503 538.547 38597.3
31 1615.56 165.546 521.094 37976.5
11 1611.97 167.597 531.024 38569.8
106 509.413 51.7258 517.708 38245.1
97 509.006 52.2596 528.085 38815.4
100 508.452 52.7926 532.57 38130.3
1 1597.64 166.187 520.941 38033.8
13 1596.88 166.012 522.712 38755.6
108 508.226 53.0943 509.634 37684
124 507.735 52.6522 516.698 38661.6
116 507.696 52.2368 514.923 38207
114 507.588 52.4237 523.32 38246.8
105 506.819 53.5758 518.196 38673.1
29 1582.19 165.576 519.043 38302.9
107 506.453 52.3521 525.553 38861.1
126 505.999 53.0641 510.426 38887.6
120 505.727 52.3478 524.67 38666.7
59 1570.78 161.335 521.766 38188.5
71 505.337 51.509 517.182 38098.9
37 1568.28 163.273 510.124 38301.8
102 505.297 53.0916 522.49 38225.7
110 505.225 52.6445 510.487 38542.3
3 1566.68 162.402 530.782 39721.7
111 505.124 52.2904 524.009 38314.5
19 1564.9 162.406 507.363 38331.6
96 504.826 51.7497 515.911 38076.8
113 504.799 52.6506 501.315 38098.8
89 504.75 51.9539 526.056 38272.6
104 504.536 52.8804 515.295 38200.7
69 504.458 52.3476 519.351 38300.6
94 504.317 52.3935 514.743 38371.2
77 504.301 52.654 523.203 38753.2
15 1557.96 161.265 519.687 38868.2
33 1556.56 159.89 516.149 38535.1
41 1554.52 162.572 515.014 38291.7
23 1553.88 162.505 519.676 38907.8
101 503.766 51.9433 508.931 38045.8
75 503.636 53.3905 537.041 38678.9
17 1551.75 160.373 519.935 38590.6
93 503.551 52.8577 524.089 37920.8
67 503.497 53.0837 514.555 38246.2
53 1550.05 160.399 516.398 38707.4
47 1549.22 162.11 514.136 38604.9
61 1548.73 163.159 515.137 38676.1
122 503 52.1208 511.732 38423.8
118 502.903 51.8091 508.809 37998.9
91 502.816 53.1024 511.809 38663.9
112 502.429 52.4235 513.058 38711.6
7 1540.48 160.271 516 38602.8
25 1539.71 159.915 518.657 38580
39 1539.62 160.891 509.643 38486.6
98 502.019 53.1839 505.817 38568.4
65 501.926 52.7776 541.804 38572.7
73 501.785 52.8028 521.283 38342.3
49 1533.79 164.055 509.483 38278.1
9 1532.43 161.043 507.259 38497
125 501.194 52.866 514.507 38290.8
79 500.899 52.0233 519.578 38595.3
127 500.845 52.4535 514.006 38560
51 1523.97 161.038 511.727 38180.2
55 1522.5 157.488 517.491 38431.5
117 500.138 53.4648 506.74 37969.9
121 500.087 52.4291 517.525 38578.6
81 500.045 51.2997 513.457 38538.7
27 1517.64 160.384 504.264 38674.1
123 499.839 52.7331 501.625 37936.5
119 499.734 51.9974 502.297 38917.8
63 1515.16 159.107 522.589 38213.6
57 1513.78 159.719 508.966 38804.2
21 1513.75 161.865 517.275 38537
87 499.121 52.1831 511.893 38625.1
85 498.875 52.5914 516.329 38012.6
90 498.574 51.1537 555.912 38598.6
83 498.215 52.7261 506.649 38704.6
88 495.697 51.1114 529.818 38453.8
68 479.154 55.3471 490.29 38109.8
62 1339.86 152.127 479.981 38625.4
56 1328.57 154.26 469.849 39558.6
0 1328.52 164.564 444.614 38121.2
64 477.395 54.4469 495.943 38404.8
58 1325.67 154.454 472.669 39544.9
36 1320.92 162.962 436.27 39328.4
60 1319.7 154.167 464.284 39245.4
70 475.958 53.2549 473.29 38747.4
66 475.881 53.7032 481.67 39271.2
4 1315.12 160.853 445.91 40571.6
52 1314.23 155.539 455.794 38207.1
2 1313.76 161.54 444.75 39762.7
28 1310.08 166.118 436.69 41307.2
8 1308.94 164.586 439.837 39583.7
6 1308.75 164.143 442.643 41281.4
84 474.878 50.8214 555.426 38397.4
18 1305.34 167.215 434.005 39861.9
48 1305.02 158.743 446.616 41024.3
54 1304.11 158.332 450.133 38341.9
50 1301.56 161.055 440.921 39638.8
86 474.029 50.4698 538.878 38430.7
16 1301.18 163.285 430.644 40257.8
10 1300.76 163.961 438.948 39799
34 1300.61 162.901 432.791 40738.9
24 1300.43 167.366 434.193 39572.4
72 473.762 53.1466 496.173 38234.3
22 1297.63 167.978 430.901 40523.1
44 1297.12 162.386 430.787 39137.5
38 1296.62 167.174 432.855 40090.9
20 1296.39 168.414 425.57 40918.3
46 1295.33 161.696 433.275 39786.8
40 1295.26 163.981 436.462 40258.5
42 1294.98 168.995 433.293 40580.7
14 1294.85 165.326 429.094 40199.5
26 1294.85 168.162 430.72 40013.7
80 473.123 52.8762 509.351 37812.1
30 1293.54 169.545 423.722 40821.3
76 472.908 55.3349 471.422 38020.4
12 1292.04 168.999 421.411 40524.4
78 472.656 54.5256 479.601 38839.6
32 1290.38 170.421 416.857 39243.3
82 472.377 54.6823 493.619 37966.5
74 472.13 56.9861 445.851 38601.9
123788 13813.3 416.857 555.912 496.336 37684 41307.2 38789

FORD
tid attemp_tp tp 50lat 99lat
3 4.16834e+06 1.1736e+06 77.564 8335.56
1 130389 32920.5 88.293 9636.56
2 32356.4 7599.88 84.655 8949.16
0 27136.2 4220.49 120.999 11778.3
4.35822e+06 1.21834e+06 77.564 120.999 92.8777 8335.56 11778.3 9674.9

FORD
tid attemp_tp tp 50lat 99lat
4 647821 64088.9 178.167 15348.9
7 315034 31481.3 178.405 15838.6
3 163030 16109 185.16 14915.9
6 156899 15751.1 181.815 15085.3
5 147626 14795.1 184.947 15639.4
1 105546 10500.8 194.332 15259.7
2 30459.4 3007.26 166.52 29438.9
0 29089.3 2897.88 139.05 29143.2
1.59551e+06 158631 139.05 194.332 176.049 14915.9 29438.9 18833.8

FORD
tid attemp_tp tp 50lat 99lat
5 11501.6 1047.45 425.584 39983
1 10958.4 973.215 434.505 39892.2
14 10939.1 974.345 430.3 41813
13 10937.9 982.881 439.709 41209.3
11 10928.9 979.882 439.015 40423.6
12 10893 975.906 426.501 41408.5
3 10881.5 971.062 442.446 39182.7
