FORD
tid attemp_tp tp 50lat 99lat
22 45046 29921.1 13.428 108.36
10 280007 186164 13.419 108.56
1 280443 186337 13.09 110.745
8 277619 184715 13.421 108.7
14 277268 184299 13.476 108.652
5 269933 179447 13.251 108.585
3 264761 175799 13.283 111.29
6 149039 98928.9 13.373 119.63
0 145797 96056.7 11.087 181.061
2 131908 87246.5 10.89 150.048
4 128855 85550.8 11.88 135.692
4.74039e+06 3.1486e+06 10.89 13.476 13.1282 105.937 181.061 112.512

FORD
tid attemp_tp tp 50lat 99lat
55 21852.5 14362.2 26.314 222.337
29 169323 111221 26.316 222.71
53 21837.4 14359.9 26.366 222.622
19 168653 110886 26.318 222.718
31 168109 110457 26.345 223.668
61 21811.4 14347.5 26.401 223.186
35 21808.7 14322.7 26.433 224.826
17 167413 110103 26.41 222.374
51 21802.3 14350.2 26.365 223.93
37 21801.3 14316.6 26.38 223.824
27 166692 109576 26.337 223.937
21 166701 109655 26.432 222.346
57 21786.7 14314.6 26.394 223.525
13 166116 109159 26.36 223.925
33 21783.1 14322.9 26.417 224.556
43 21781.5 14313.2 26.409 223.529
63 21776.9 14319.6 26.382 222.672
39 21774.8 14307.7 26.424 223.839
23 165487 108874 26.442 224.835
25 165518 108787 26.363 224.947
59 21767.6 14290 26.465 224.097
47 21765.4 14298.2 26.374 223.308
41 21759.4 14299.5 26.498 224.056
15 164456 107986 26.454 224.457
45 21748.9 14293 26.677 222.892
49 21747.5 14292.7 26.524 223.844
18 163161 107377 26.447 225.172
24 162806 107029 26.448 224.386
32 21718.5 14275.6 26.461 224.237
46 21717.7 14276.8 26.486 223.94
26 162066 106434 26.506 224.278
54 21711.5 14271.1 26.485 225.806
42 21711.2 14269.8 26.467 226.822
30 161826 106413 26.505 226.217
36 21707.9 14280.7 26.513 224.517
48 21707.1 14271.9 26.473 224.868
28 161388 106110 26.567 224.464
20 161321 105973 26.737 225.502
12 161307 106008 26.476 225.365
34 21699.1 14263 26.574 225.008
38 21700 14266.8 26.48 225.857
60 21698.4 14274.8 26.515 225.159
50 21695.5 14250.2 26.538 224.885
56 21695.2 14254.6 26.536 224.744
52 21693.6 14250.9 26.523 225.808
44 21690.6 14262.5 26.562 225.536
16 160739 105662 26.608 224.954
14 160611 105605 26.61 226.263
58 21682.3 14250.3 26.626 225.548
22 160271 105348 26.592 225.022
62 21678.1 14258.9 26.663 225.573
40 21669.3 14246.7 26.698 224.963
11 150233 98656.6 26.391 231.328
1 143150 93942.7 25.602 259.063
9 134540 88398.3 26.14 248.481
3 130391 85499.6 25.222 266.655
5 130122 85573 25.872 255.886
7 129721 85309.5 25.914 252.997
0 97844.6 63809.8 22.256 434.972
10 97042.3 63752.7 26.27 254.433
2 89590.4 58578.7 21.175 401.362
8 89347 58770.5 24.787 293.243
6 87316.2 57392.9 23.432 337.234
4 86947.4 57081.6 21.232 376.619
5.34599e+06 3.51277e+06 21.175 26.737 26.1092 222.337 434.972 238.752

FORD
tid attemp_tp tp 50lat 99lat
53 173044 112720 58.28 451.962
119 10614.5 6911.98 58.296 456.008
21 171306 111692 58.285 452.971
37 170626 111032 58.354 453.246
89 10607.7 6900.88 58.33 456.404
103 10607.7 6905.18 58.341 455.459
123 10603.3 6905.24 58.409 457.251
115 10603.2 6899.91 58.356 454.796
79 10602.1 6905.92 58.344 454.621
35 168617 109729 58.307 457.701
101 10602.2 6898.5 58.302 454.853
29 167178 108775 58.364 454.644
43 166831 108561 58.332 455.174
49 166618 108513 58.353 453.025
55 166536 108417 58.331 456.509
117 10594.1 6895.77 58.377 454.543
93 10592.1 6890.93 58.395 454.774
19 166157 108231 58.329 453.667
13 166095 108141 58.319 456.058
15 166040 108020 58.385 455.195
45 165988 108074 58.402 454.799
121 10588.1 6899.13 58.308 458.003
11 165322 107537 58.323 457.569
85 10587.5 6887.42 58.385 458.086
91 10587.3 6892.46 58.416 454.642
87 10587.4 6901.72 58.523 453.58
47 164762 107199 58.383 454.992
125 10586.1 6896.94 58.311 458.064
83 10586 6895.99 58.34 456.304
81 10584.3 6901.66 58.355 457.688
73 10583.9 6898.54 58.358 456.071
39 164008 106765 58.453 455.604
97 10583.6 6896.34 58.328 455.997
41 163824 106680 58.477 455.386
95 10580.2 6891.64 58.314 456.379
99 10579.6 6891.51 58.485 456.034
127 10577.6 6882.19 58.376 456.634
33 162903 106108 58.404 457.594
109 10577.5 6901.1 58.356 457.761
113 10577.7 6893.94 58.482 454.661
107 10576.3 6887.17 58.398 459.187
75 10577.1 6893.6 58.416 457.205
23 162126 105674 58.337 459.063
111 10574.5 6887.9 58.441 460.152
105 10575.2 6883.83 58.384 456.148
17 161830 105431 58.362 456.23
51 161574 105368 58.402 456.583
